# BEAST v1.8.2, r6692
# Generated Wed Oct 12 03:32:48 PDT 2016 [seed=1476166525953]
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood	geography.clock.rate	geography.rates1	geography.rates2	geography.rates3	geography.rates4	geography.rates5	geography.rates6	geography.rates7	geography.rates8	geography.rates9	geography.rates10	geography.rates11	geography.rates12	geography.rates13	geography.rates14	geography.rates15	geography.rates16	geography.rates17	geography.rates18	geography.rates19	geography.rates20	geography.rates21	geography.rates22	geography.rates23	geography.rates24	geography.rates25	geography.rates26	geography.rates27	geography.rates28	geography.indicators1	geography.indicators2	geography.indicators3	geography.indicators4	geography.indicators5	geography.indicators6	geography.indicators7	geography.indicators8	geography.indicators9	geography.indicators10	geography.indicators11	geography.indicators12	geography.indicators13	geography.indicators14	geography.indicators15	geography.indicators16	geography.indicators17	geography.indicators18	geography.indicators19	geography.indicators20	geography.indicators21	geography.indicators22	geography.indicators23	geography.indicators24	geography.indicators25	geography.indicators26	geography.indicators27	geography.indicators28	geography.nonZeroRates
25000	-1052.1708476840995	-1168.8312844182328	-116.6604367341334	1.0	-1168.8312844182328	0.003290888261559965	1.3121745191519707	3.1804766905736077	0.3841145758920575	1.678479175888974	0.6119906858358827	0.3198096361331776	0.8178670381527351	1.1104971193615987	1.0755812884364742	0.28216052784899404	0.17059483971018802	1.1359411139263043	0.13958769469518637	1.0118931682804517	0.6799753981805879	1.8938284902532807	2.546616845570358	0.31943120640366507	2.0522139393896026	0.144090553752214	1.5199861847122946	0.9813436813422957	1.7358733323844955	1.7024448408450146	0.6304168837529417	1.0262858159164692	1.0688064579753132	0.5175670227228162	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	10.0
30000	-1061.0476371894986	-1169.9855466480337	-108.93790945853523	1.0	-1169.9855466480337	0.0029348004119404	2.2845769342561093	1.2958525608141422	0.7077960771257887	2.0114652825143837	0.5985271178516458	0.8705820593808813	0.36977306454197545	0.35408486954429297	0.6739595766644045	0.016405981988900073	0.1534826700439572	2.2547580784379497	1.2215533341308047	0.3584355985147849	0.44832135177575266	0.7677781173281177	1.2964338131250606	0.15626341996286597	2.0207529687235097	1.066198068156779	3.368717238526221	0.9751384739009205	3.2433122018207157	0.765975014862664	0.8601078061022353	0.42883435882189896	1.3945202418270288	2.507349230314703	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0
35000	-1061.4693246314214	-1155.2263726597128	-93.75704802829127	1.0	-1155.2263726597128	0.0029434092673727994	0.15641864639941808	1.2040350363007941	0.6070889531900332	0.3942520059684672	0.20012023761001793	0.17030345850875886	0.5697028187458751	0.5154196461871338	0.2648303981028749	0.2313609254121599	0.036566239893050446	1.048791080071593	0.9468554363583321	0.40391503351348323	0.28367915415241424	0.7320462886198842	1.1544063037997965	0.18650439095201873	0.10894791137397333	0.7531035437266248	1.441266108229214	1.2786232718512844	0.3929783278011119	0.3405502699136463	0.44064081823498386	0.3722334887992108	1.0203749955947083	2.960106389288417	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0
40000	-1051.8930282764782	-1167.7395946948398	-115.84656641836158	1.0	-1167.7395946948398	0.003397821250276965	0.8951130822969809	2.79372974875837	0.15135695124652707	0.2715315971374493	1.042727293180113	0.31071756555502966	0.7245794691215092	0.5759530138862848	2.163249898538691	0.42629793412406614	0.015419963413928097	0.9301639881854018	0.07572867973471795	0.6992875824503086	0.6173237950131588	1.1886068016752813	2.045870486331886	0.2883322704090617	1.0654148020560743	0.621406484477161	1.2523898406928748	0.34879743363397253	0.13209116424062042	0.044659567148781915	0.36672636319104374	1.5858435360613863	0.4497318821734959	0.22316020040761247	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	10.0
45000	-1068.0303381637775	-1150.4405887471514	-82.4102505833739	1.0	-1150.4405887471514	0.0023527954818604066	0.2619377639297074	1.377057550843602	0.17881488340674334	0.11048070431055368	0.3049655542065237	0.033663725652128274	0.3823276601816874	0.38982929922067144	0.3329334748517604	0.8221836392179959	0.5029272241822409	0.9314087115379396	0.0634070488822684	0.3701597990111533	0.24801350709083764	0.6951856248187667	0.9042869162046188	0.1815948933367949	1.1207606016460183	0.3529403301588817	0.52711174194411	0.05800031218117924	0.34212246133548363	0.7527670850510622	0.20992898707873445	0.336717680270924	0.325644441644457	0.1874539326557195	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0
50000	-1056.2316843072383	-1159.7942113557006	-103.5625270484623	1.0	-1159.7942113557006	0.003408864754091832	0.0805423182252696	1.6715241714804006	0.8738667946167723	0.025044821134345002	0.9729541826220273	0.48147092022106625	0.5785894856229661	0.5204316205317312	0.30657110819879146	0.4605369491769784	0.26615237389529184	1.4333101849806282	0.0073904158596238305	0.40068632923654884	0.4526261927487747	1.1953114660199096	1.4978500368981362	0.14920510584772928	1.3692963747893985	0.7177570220384195	0.3632218792366247	1.0383252570961754	0.5680288813262978	1.0023421136133628	0.10922266334468353	0.6350043616209856	0.8639720871753088	0.5512951097850306	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	10.0
55000	-1055.5902629434854	-1171.1170600779053	-115.52679713441995	1.0	-1171.1170600779053	0.003295733433607947	0.5917264971361003	1.4464570254044888	1.0833154893554344	0.005527099058753107	1.6949067203524912	0.9139282230422917	0.8046697656646022	0.6837183070537624	0.35695992612133104	4.357628069017663	0.061271935081529075	0.43795719822781454	0.02522562720776405	0.5635899515074176	0.3526237333245308	1.5163534241825871	1.1852760336385688	0.17362449049905648	3.0827382600745104	0.2118519287276029	0.09234440569545298	1.096775562201427	0.5759675759883113	3.364562472151623	1.4271394851656745	0.5188781187151902	1.2130601447045908	0.9444671939060391	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	10.0
60000	-1060.7859739296018	-1163.4812887282314	-102.69531479862964	1.0	-1163.4812887282314	0.0025669594181813183	0.25207740357011654	1.1829127662879126	0.8571670779080491	0.018133573394091856	0.867581063687125	1.9598832613537742	0.31864613620407367	0.3729936038960413	0.4367661989244568	3.116638760954317	0.1627716764660016	0.17154340566015644	0.5324968657657578	0.5643202022570445	0.2323536373678587	0.7555784663746978	0.8804308177686851	0.1817646900117507	1.3371592281373403	0.7847520007407048	0.15812820900212624	1.8481565482654434	2.9385193149300197	0.5531397276197281	0.214167187566127	0.7284344634680341	1.9280194002912565	2.307441020358712	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0
65000	-1047.2197834582728	-1175.6781831020592	-128.45839964378635	1.0	-1175.6781831020592	0.00385814615302715	1.190332967426658	2.5574973317830123	2.0747264493122515	0.0774877307822488	0.18982233515014682	0.6407210439629545	1.5716967391266434	1.1080089127878747	0.12137210418954592	0.4607389407778727	0.8813496414917663	1.994470023624873	0.41113301446600753	1.0085715827361048	0.7286776262407587	2.2429890511326307	2.492390990218097	0.4098783246516863	0.8815500976698352	1.1667987463451257	1.6192945579220066	0.7627946501280943	0.3782957626268247	6.745830557047454	0.12756343393331485	0.9646419649309679	0.5205843071415467	1.1168278861553547	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	10.0
70000	-1063.066265753258	-1170.0967488702963	-107.03048311703826	1.0	-1170.0967488702963	0.0029333776275231255	0.7759014738468465	3.075561655700287	0.5166564558535969	0.09494752623674542	0.5162863792020861	0.44074713867601456	0.7434201102270444	1.0476468419703933	0.9866298323895358	0.3040814963173998	2.022986129285969	1.770033496258789	0.5557996228772765	0.9209315223222503	0.39874568036813784	1.642432982713709	2.281596193461223	0.4922007622619908	2.4717569887653865	0.397034781874697	1.8770937950935247	1.487501696643213	0.47477445701803817	0.7570809920798408	1.5259204879325927	0.9202808250123402	0.41715225521534655	0.5053524404250709	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	10.0
