state	posterior	prior	likelihood	geography.clock.rate	geography.rates1	geography.rates2	geography.rates3	geography.rates4	geography.rates5	geography.rates6	geography.rates7	geography.rates8	geography.rates9	geography.rates10	geography.rates11	geography.rates12	geography.rates13	geography.rates14	geography.rates15	geography.rates16	geography.rates17	geography.rates18	geography.rates19	geography.rates20	geography.rates21	geography.rates22	geography.rates23	geography.rates24	geography.rates25	geography.rates26	geography.rates27	geography.rates28	geography.indicators1	geography.indicators2	geography.indicators3	geography.indicators4	geography.indicators5	geography.indicators6	geography.indicators7	geography.indicators8	geography.indicators9	geography.indicators10	geography.indicators11	geography.indicators12	geography.indicators13	geography.indicators14	geography.indicators15	geography.indicators16	geography.indicators17	geography.indicators18	geography.indicators19	geography.indicators20	geography.indicators21	geography.indicators22	geography.indicators23	geography.indicators24	geography.indicators25	geography.indicators26	geography.indicators27	geography.indicators28	geography.nonZeroRates	Current Tree	c_geography.count[1]	c_1-2.count[1]	c_1-3.count[1]	c_1-4.count[1]	c_1-5.count[1]	c_1-6.count[1]	c_1-7.count[1]	c_1-8.count[1]	c_2-1.count[1]	c_2-3.count[1]	c_2-4.count[1]	c_2-5.count[1]	c_2-6.count[1]	c_2-7.count[1]	c_2-8.count[1]	c_3-1.count[1]	c_3-2.count[1]	c_3-4.count[1]	c_3-5.count[1]	c_3-6.count[1]	c_3-7.count[1]	c_3-8.count[1]	c_4-1.count[1]	c_4-2.count[1]	c_4-3.count[1]	c_4-5.count[1]	c_4-6.count[1]	c_4-7.count[1]	c_4-8.count[1]	c_5-1.count[1]	c_5-2.count[1]	c_5-3.count[1]	c_5-4.count[1]	c_5-6.count[1]	c_5-7.count[1]	c_5-8.count[1]	c_6-1.count[1]	c_6-2.count[1]	c_6-3.count[1]	c_6-4.count[1]	c_6-5.count[1]	c_6-7.count[1]	c_6-8.count[1]	c_7-1.count[1]	c_7-2.count[1]	c_7-3.count[1]	c_7-4.count[1]	c_7-5.count[1]	c_7-6.count[1]	c_7-8.count[1]	c_8-1.count[1]	c_8-2.count[1]	c_8-3.count[1]	c_8-4.count[1]	c_8-5.count[1]	c_8-6.count[1]	c_8-7.count[1]
100000	-1163.9649291972362	-108.20447023993454	-1055.7604589573016	0.0031821735460491516	1.3008657574101792	1.8129668874979554	0.04501083667828865	0.3747164402974188	1.0335620913827428	0.2971120705889594	0.2359876730697162	0.6572562129274376	0.5263710978684693	2.0060367241056425	2.0370198628144354	2.221023822860498	0.40841803566085905	0.6369999607061166	0.25935435520395633	1.0473256844023535	1.4528582880577883	0.33584655703264177	0.0098734733176313	0.5426059214213023	0.14614139765261744	0.17453598363352507	1.5960237562406367	2.0374818392365968	1.4246352603493238	0.7724318005216704	0.2824252700166452	0.7597451250923982	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0	854.0	326.3919489612591	0.0	10.985014369475449	0.0	0.0	0.0	0.0	4.740028515962972	0.0	8.743621732433601	0.0	0.0	0.0	0.0	0.0	79.87666286600097	20.781846290997752	25.289127776874288	14.84372526999132	48.227152762125726	60.4731644661701	15.320073383230277	0.0	0.0	0.27309101547047815	0.0	0.0	0.0	0.0	0.0	0.0	1.1324176945944402	0.0	0.0	0.0	0.0	0.0	0.0	8.959818594242135	0.0	0.0	10.455020666939426	0.0	0.0	0.0	10.790029582836828	0.0	0.0	5.245575519756439	0.0	0.11154035568191938	0.0	0.14403809847570193	0.0	0.0	0.0	0.0
200000	-1167.6231278370808	-113.96381598573122	-1053.6593118513497	0.002918757097415326	0.023990790984960042	1.952455749429204	0.8393212307335902	1.091178829500541	2.3755562105133254	0.011496109461036968	0.6215435124226817	0.6956623122107564	2.029301445451657	0.3372098819221822	2.537387703928191	0.13745760389849573	0.48340993991345493	0.6861720180292793	0.508080883695239	1.2768945942101417	2.0220327499738353	0.48829372241444974	0.37703146485677463	4.556056551532983	0.5530863611699796	4.06706991333258	0.17593633324926308	0.648998089394252	0.035753736233545705	1.1346792141354591	1.1025185505428454	1.425811419019912	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	10.0	887.0	307.95460737794536	0.0	11.055907878683955	0.0	0.0	0.0	0.0	7.058907721470633	0.0	5.644971388965809	0.0	0.0	0.0	0.0	0.0	67.97587584446141	20.137787224032262	25.65418547217038	14.62779338743593	44.682492132939394	64.05654697664407	11.984934480191995	0.0	0.0	0.1984520555473315	0.0	0.0	0.0	0.0	0.0	0.0	1.1644422887446122	0.0	0.05390984286436011	0.0	0.0	0.0	0.0	6.747796562196765	0.0	1.9321449100035137	8.514348524856398	0.0	0.0	0.0	11.726464663552576	0.0	0.0	4.375431283948169	0.0	0.2201361893094899	0.0	0.14207854992684207	0.0	0.0	0.0	0.0
300000	-1169.816393719947	-116.09772027561766	-1053.7186734443294	0.003191675756926722	3.151310667043271	1.9429875837162347	0.3565467228031431	1.207035121219707	1.878665989539992	0.8586924393993087	0.6092720075335906	0.5945351945321565	0.4095587120965225	1.3371722785980813	1.7848466663199207	0.6138396324933947	0.933458193475371	0.4666666315127874	0.4872122477959044	1.1827682524911138	1.674545092754975	0.28918252441017406	3.4729075812158214	0.3959147569668442	0.07367800971774167	0.12229399520268047	0.9818908416113417	0.2971357821128726	2.3000460738595025	0.5468787632730107	1.0107934629860742	0.2305562786826961	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	11.0	1801.0	313.18613015708786	0.0	22.532206943719512	2.327856735360595	0.0	0.0	0.0	8.284825484437556	0.0	6.772812558823639	0.0	0.0	0.0	0.0	0.0	63.158883826186006	19.07810995854502	21.767133089701975	15.010099539267724	43.2311981294755	67.09575714042029	11.021799922731281	1.0337846740434156	0.0	0.19883110676358642	0.0	0.0	0.0	0.0	0.0	0.0	1.2234920982040032	0.0	0.0	0.0	0.0	0.0	0.0	8.672907639575204	0.0	0.0	6.284721321599454	0.0	0.0	0.0	7.963077857851987	0.0	0.0	5.895498196001108	0.2067179944821132	1.1468958941431433	0.0	0.12168258329934836	0.0	0.0	0.0	0.15783746245532085
400000	-1165.6718243832602	-110.46138526334506	-1055.210439119915	0.0032539698679693884	0.15962788667486605	1.1007312942069394	0.19447281511769615	1.2974488364902912	0.3263151884672883	0.10244220316102169	1.0396732964196618	0.44237476817495214	1.1984829310592215	0.03711373362935466	0.10424252550441336	0.23691222819083105	3.117942897937865	0.30957353603490856	0.3137909839706815	0.9079399508961637	1.3907204660436878	0.1590448807039571	0.8637078102440698	0.04698887062467323	3.320923423328598	2.079603407115654	0.35377968721402736	0.43661657375009044	3.201697058459173	0.5226591534160498	1.3114338283846751	0.09446125243042448	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0	854.0	312.1707937831548	0.0	14.638209779378855	0.0	0.0	0.0	0.0	10.23041411588703	0.0	7.798852889646009	0.0	0.0	0.0	0.0	0.0	66.49212657888148	19.012462585999554	24.0026292503276	14.100242644316824	47.411063445203126	57.676680218444055	9.36974360586355	0.0	0.0	0.1827821078816401	0.0	0.0	0.0	0.0	0.0	0.0	1.2012519869501905	0.0	0.0	0.0	0.0	0.0	0.0	8.419263831238567	0.0	0.0	10.65195310857853	0.0	0.0	0.0	14.16065245520789	0.0	0.0	5.044888648457115	0.0	1.6823952666068636	0.0	0.095181264285523	0.0	0.0	0.0	0.0
500000	-1170.6362074385052	-124.4589102021547	-1046.1772972363506	0.0035324928349103925	0.7241915695237433	1.9766211658308026	0.0876313497448383	1.3472000240041282	2.3602761991382253	0.36575965863108817	0.8980931764328778	0.5146461270363668	0.35736980712115946	0.25738581925219023	0.0010221085410594749	0.6323678627489627	1.9224023437836253	0.5361484670632025	0.6813787301423748	0.8555660728461968	1.8656723196582163	0.2246198834314989	1.5345823565775996	1.0330829420021974	0.28056443574342266	2.6766861034391476	1.055634010601989	1.226217132847744	1.7596331462944248	0.8166601744234869	2.3703741740532096	1.4114788683527695	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	10.0	1801.0	313.91594057400164	0.0	16.3354577596603	1.5824597695056635	0.0	0.0	0.0	9.604672765234284	0.0	6.7804860570677405	0.0	0.0	0.0	0.0	0.0	66.24845429253145	19.10097055849582	23.62710825927196	16.507556487633316	42.85580490595847	65.59900388358535	8.483325591167336	0.026056226955187996	0.0	0.2639656050491895	0.0	0.0	0.0	0.0	0.0	0.0	1.3659047009424938	0.0	0.0	0.0	0.0	0.0	0.0	8.79950259915817	0.0	0.0	7.27572617190212	0.0	0.0	0.0	11.978188874801576	0.0	0.0	6.1252659372786065	0.0	1.2429425197704058	0.0	0.1130876080316745	0.0	0.0	0.0	0.0
600000	-1165.8781598142082	-112.41086792652611	-1053.467291887682	0.003255571321382146	0.04541130415014193	2.9843810277275375	0.49408284788317874	1.4756133297631997	0.9991465658800138	0.4316331426502516	1.053430921276689	1.181007475838323	0.10923976251623631	0.5449903561545604	0.6472739434031661	1.0437088285845026	0.7240281964109844	0.7446594120718107	0.7208586168035168	2.0197614219835365	2.4822292886090778	0.3206224441517862	0.9635975976031481	0.04992568050029484	1.0062763721879364	1.3169793649131165	1.9587346115094748	0.05245151723114738	0.258818596467528	2.7110108855191535	1.7227601188025876	0.17875581646439942	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0	835.0	314.3023179143997	0.0	12.894986506250412	0.0	0.0	0.0	0.0	8.759581874996565	0.0	4.716377035046327	0.0	0.0	0.0	0.0	0.0	68.45546975111041	23.48031858730299	23.349946651096936	13.997870059340155	40.7776327642157	59.43411040803588	9.767692099563336	0.0	0.0	0.1795325205885033	0.0	0.0	0.0	0.0	0.0	0.0	1.1858118990087039	0.0	0.0	0.0	0.0	0.0	0.0	11.847538803147666	0.0	0.0	14.23692426964285	0.0	0.0	0.0	10.199758534735288	0.0	0.0	9.685593629384684	0.0	0.28468056004629916	0.0	1.0484919608870886	0.0	0.0	0.0	0.0
700000	-1166.922390420136	-105.96290395940038	-1060.9594864607357	0.002604623569261788	0.2758984458786669	2.547148751012226	2.7448479167978097	1.5295145456718398	0.3620621598807403	0.2169090817566743	0.8399441834927008	1.251199070899463	0.8648434043228278	0.5669121295544194	0.3199997353044687	0.045572360328325234	5.3593564648072824	0.48689675182025666	0.4320234374346248	1.5566922920067288	2.3118050032769495	0.30270647165715686	0.10059638264447371	0.7776239951107873	0.08241763508022694	0.4539096039536415	1.2803267180265596	0.8584889169803129	0.7359697373196069	0.948488886240352	0.03831732213995863	0.42112290490935517	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0	1913.0	306.13273281009936	0.0	15.580910391455728	0.0	0.0	0.0	0.0	7.672188737218096	0.0	6.86594967673776	0.0	0.0	0.0	0.0	0.0	66.21075155958546	21.136453072843008	23.198104311944093	15.77045607280723	41.01245619986537	59.36641527756245	11.914589924173923	0.0	0.0	0.12469103675721488	0.0	0.0	0.0	0.0	0.0	0.0	0.11085809523732738	0.0	0.0	0.0	0.0	0.0	0.0	10.998995627165696	0.0	0.0	9.485388089663074	0.0	0.0	0.0	11.427565298406856	0.0	0.0	4.0378226878075445	0.0	1.1393862019587173	0.0	0.07975054890882648	0.0	0.0	0.0	0.0
800000	-1156.2924444600153	-100.86152884821435	-1055.4309156118009	0.003216742056681089	1.9718006199180407	1.1359826747852073	0.08853192854352708	0.6065670069299889	1.6854451577627727	0.11613009708751032	0.2518248993256377	0.3457283346766634	0.12443716623640301	0.005866989774910766	1.4765601287890808	0.37328722227305894	0.2011393923549702	0.40414125281032165	0.2716246536724845	0.751536543999971	1.0331284860166696	0.19856491333539236	0.6691353356813614	1.508621192612195	0.12255911743888401	0.7573277504751768	0.017781449373687846	0.7667756647266546	0.08539232119950334	0.4736075948517562	0.5713351155423725	0.6121982481547883	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	10.0	1671.0	316.64895973386734	0.0	13.109535360595022	1.6797557958361182	0.0	0.0	0.0	5.928090607551416	0.0	6.788767905827974	0.0	0.0	0.0	0.0	0.0	69.9269673239975	20.222868614856196	23.878761137152726	16.767772197269288	44.755590790359065	63.970936766497836	12.824564504458506	0.04739084478340539	0.0	0.26750509403498257	0.0	0.0	0.0	0.0	0.0	0.0	1.2042782335125182	0.0	0.0	0.0	0.0	0.0	0.0	12.25973696831993	0.0	0.0	5.29137540732896	0.0	0.0	0.0	10.570647446278121	0.0	0.0	5.950281742875323	0.0	1.0660422749597946	0.0	0.13809071737139578	0.0	0.0	0.0	0.0
900000	-1159.1014660137164	-105.3336246247325	-1053.767841388984	0.0032943969051309513	0.3020509958213967	2.0151612751636865	0.2575790479353947	2.838997823552379	0.9373788869442463	0.853674836357795	1.183457180940911	0.952136043152902	1.512389065815231	0.215433006043706	0.20427695733227122	0.22632148144033046	0.018480815212529696	0.6750126010365746	0.46420687760914014	1.4519838922043085	1.6820548865395961	0.2380674470901985	1.3014320036256153	0.05053904587388827	0.025967483123182287	0.3124364004618877	0.6380480107513458	0.41460442901537947	0.020256590855274544	0.7050246641331047	0.2393595236143577	1.4769374494968517	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0	454.0	310.61749028850284	0.0	12.618437329335837	0.0	0.0	0.0	0.0	9.410281653358135	0.0	3.761207731274636	0.0	0.0	0.0	0.0	0.0	67.52659850787424	24.0185863788255	24.032856583335796	15.882815582796535	48.12673775968564	61.754184352778445	9.368682288212074	0.0	0.0	0.2574845527171327	0.0	0.0	0.0	0.0	0.0	0.0	0.1775561021649168	0.0	0.0	0.0	0.0	0.0	0.0	12.239419021182652	0.0	0.0	8.202319957968292	0.0	0.0	0.0	5.02343143911672	0.0	0.0	3.0456667272612776	0.0	2.388109892617583	0.0	2.783114427996666	0.0	0.0	0.0	0.0
1000000	-1166.0616077501331	-103.9255266425047	-1062.1360811076283	0.0026580412300902484	1.0369262094439027	0.9429721623764613	0.6977942236991321	1.1135819777773668	0.27704045013758377	0.9090951454227908	0.22411088090157408	0.44192132324065403	0.6964855715194843	0.4145668369447742	4.284311932079003	4.849361557546136	0.787179033014721	0.3393065542485042	0.20663854927606576	0.7248881230065395	0.9870502493852539	0.24511505222602906	0.25855996432904543	0.07064236778245461	1.0502205182605837	0.14596114478603162	3.1529479390583734	1.5372746453115997	0.02775449493676006	0.6003699957679908	0.5952341728214228	2.0336868681616713	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0	1424.0	312.30011785132575	0.0	8.198500824221982	0.0	0.0	0.0	0.0	6.979652821075092	0.0	3.586016043534939	0.0	0.0	0.0	0.0	0.0	73.12683745781938	23.767438899226864	23.98214252814721	17.70274185554815	43.26097611180284	66.63491781040547	14.203196646708516	0.0	0.0	0.16885215075634624	0.0	0.0	0.0	0.0	0.0	0.0	0.10304373701880627	0.0	0.0	0.0	0.0	0.0	0.0	11.844764644761705	0.0	0.0	6.1678594303965895	0.0	0.0	0.0	8.10508753318349	0.0	0.0	4.221719816113518	0.0	0.12412161934506377	0.0	0.1222479212597295	0.0	0.0	0.0	0.0
