# BEAST v1.8.2, r6692
# Generated Wed Oct 26 22:06:52 PDT 2016 [seed=1477544804062]
state	posterior	prior	likelihood	geography.clock.rate	geography.rates1	geography.rates2	geography.rates3	geography.rates4	geography.rates5	geography.rates6	geography.rates7	geography.rates8	geography.rates9	geography.rates10	geography.rates11	geography.rates12	geography.rates13	geography.rates14	geography.rates15	geography.rates16	geography.rates17	geography.rates18	geography.rates19	geography.rates20	geography.rates21	geography.rates22	geography.rates23	geography.rates24	geography.rates25	geography.rates26	geography.rates27	geography.rates28	geography.indicators1	geography.indicators2	geography.indicators3	geography.indicators4	geography.indicators5	geography.indicators6	geography.indicators7	geography.indicators8	geography.indicators9	geography.indicators10	geography.indicators11	geography.indicators12	geography.indicators13	geography.indicators14	geography.indicators15	geography.indicators16	geography.indicators17	geography.indicators18	geography.indicators19	geography.indicators20	geography.indicators21	geography.indicators22	geography.indicators23	geography.indicators24	geography.indicators25	geography.indicators26	geography.indicators27	geography.indicators28	geography.nonZeroRates	Current Tree	c_geography.count[1]	c_1-2.count[1]	c_1-3.count[1]	c_1-4.count[1]	c_1-5.count[1]	c_1-6.count[1]	c_1-7.count[1]	c_1-8.count[1]	c_2-1.count[1]	c_2-3.count[1]	c_2-4.count[1]	c_2-5.count[1]	c_2-6.count[1]	c_2-7.count[1]	c_2-8.count[1]	c_3-1.count[1]	c_3-2.count[1]	c_3-4.count[1]	c_3-5.count[1]	c_3-6.count[1]	c_3-7.count[1]	c_3-8.count[1]	c_4-1.count[1]	c_4-2.count[1]	c_4-3.count[1]	c_4-5.count[1]	c_4-6.count[1]	c_4-7.count[1]	c_4-8.count[1]	c_5-1.count[1]	c_5-2.count[1]	c_5-3.count[1]	c_5-4.count[1]	c_5-6.count[1]	c_5-7.count[1]	c_5-8.count[1]	c_6-1.count[1]	c_6-2.count[1]	c_6-3.count[1]	c_6-4.count[1]	c_6-5.count[1]	c_6-7.count[1]	c_6-8.count[1]	c_7-1.count[1]	c_7-2.count[1]	c_7-3.count[1]	c_7-4.count[1]	c_7-5.count[1]	c_7-6.count[1]	c_7-8.count[1]	c_8-1.count[1]	c_8-2.count[1]	c_8-3.count[1]	c_8-4.count[1]	c_8-5.count[1]	c_8-6.count[1]	c_8-7.count[1]
0	-348.3252486704081	-348.32524867040803	-3.29736238313672E-14	0.01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	28.0	348.0	288.715276504527	0.6641388878818214	2.8529964635099123	0.8965531638310745	1.7647878744304408	1.7128128546864394	0.9526353567942135	1.7331445071584541	3.4623448579928273	2.0378458148793075	1.0488456528944654	3.767671270898218	2.703221903904319	2.0733774289407756	3.496974880252718	3.4486350857440917	0.7308016870182085	0.9632159629674615	2.6699872774963977	1.9106797078451518	1.8540788272777946	2.6677840793444343	0.6568088175206134	0.5968431614862332	0.9860146643805322	1.628720536912854	0.8113034501026448	0.8853396298293579	0.7943059923902637	0.6528443509227663	0.5928786947987811	0.982050198309409	0.8252929707480327	0.8073389837583259	1.7567918627270764	0.7903415260187496	0.7623537370077222	0.7023880808044705	1.0915595838676406	1.7918396081241819	2.642370097531025	1.8835112676442833	2.512459564247259	0.688260394606228	0.6282947384255768	1.0174662419928706	1.6770097071232433	1.6490743814096465	0.8427550273851222	0.8257575696455456	23.905821864498144	26.674936559347536	38.2772496607539	30.15657918693405	27.284927148604574	31.598370011544567	35.922883687374785
5000	-21.26086052336702	-21.26086052336704	2.298161660965481E-14	2.5873965242919864E-8	0.635482004211465	0.4581913183790309	0.09716662436728579	1.4525449607266807	0.6829157828518718	2.531040302115241	1.7152229245009452	1.3156240512071218	0.31352577949978844	0.5868660438471512	0.9276131498966994	1.7193738237723335	2.3568022522362755	1.0847948267271235	1.089789282881815	1.8076175322371006	1.022485237387051	0.7242097184645931	1.2819611320807183	2.524420816768288	1.2749009974228591	0.22775924783618265	0.6082312476077503	1.909310916251549	0.47735088780235074	0.44432790797060734	3.550670848500034	0.6232232975217984	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	8.0	480.0	6.822018573072268E-11	0.0	-3.1371334314035652E-18	0.0	0.0	0.0	0.0	-1.1740204442366172E-17	0.0	2.3588091628903412E-11	0.0	1.0522040838555877E-11	0.0	0.0	0.0	-3.1274793535909236E-18	2.3588091555795768E-11	0.0	-7.470491491361271E-18	0.0	0.0	0.0	0.0	0.0	0.0	-8.765400796249328E-18	0.0	0.0	0.0	0.0	1.0522040815469053E-11	-7.470192514921209E-18	-8.770546467433082E-18	-4.164861628471625E-18	0.0	0.0	0.0	0.0	0.0	0.0	-4.1653563242606304E-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.26455359327971E-18	-1.1834068086858174E-17	0.0	0.0	0.0	0.0	0.0	-4.255678099018823E-18
10000	-30.869549897086493	-30.869549897086625	1.304512053934201E-13	2.5177847761618796E-9	0.23188621464617531	2.0872551387351503	0.4249661485516683	0.15615048361220374	2.2460508909046584	0.12241923378572575	0.06763888226630486	1.8513873974592374	1.6826445557565641	4.904202776413855	1.773749201781682	2.600545887879867	0.5634301423885844	0.32380229190226756	0.5716616784587734	0.03311249107044393	1.5663310977209748	0.9190842780921241	2.83807462156832	1.739905992561762	0.02824974113276889	8.651283041191496	0.5451851828889616	1.9590304003694412	1.3121477285620913	0.8381976184313863	0.27288723459667835	4.305115761770914	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	7.0	40.0	4.0350815150127006E-13	0.0	0.0	0.0	0.0	2.0157791713716342E-13	0.0	0.0	0.0	2.26757828216686E-17	0.0	0.0	0.0	0.0	0.0	0.0	2.2677385300782327E-17	0.0	0.0	0.0	1.9184819394407448E-17	0.0	0.0	0.0	0.0	0.0	2.1310981808770514E-17	3.4601360071829744E-19	1.0596487385594719E-16	0.0	0.0	0.0	0.0	6.677890619637417E-18	0.0	0.0	2.0157791596446946E-13	0.0	0.0	2.1310981808770514E-17	6.677842928817672E-18	0.0	0.0	0.0	0.0	1.9184819394407448E-17	3.460355242444897E-19	0.0	0.0	0.0	0.0	0.0	0.0	1.0596459887596329E-16	0.0	0.0	0.0
15000	-20.48663090944463	-20.486630909444667	3.541611448540234E-14	1.7961178423612932E-7	0.7527198589973378	0.5723650614588465	1.0591699150846983	0.4807886520838776	0.39993154811390697	2.1724326326821166	1.2633592218647582	0.29116526721590563	0.873486526734619	0.7715369665740256	0.5241744260393072	1.448880812432288	1.9722759724879948	1.337041848629922	0.19670037650478883	1.618662133177695	1.0595450878869785	2.7945589250756524	0.41700237520633776	2.107451009299569	0.2109064495962535	2.3023183632590953	1.79211981754583	2.011646042336825	0.11266935404537379	1.9780411614931106	0.0286413173883064	1.5262387519363037	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	7.0	337.0	2.549959207701966E-9	0.0	0.0	0.0	0.0	0.0	4.3426097076474085E-16	0.0	0.0	0.0	0.0	0.0	0.0	2.896244074984154E-16	0.0	0.0	0.0	2.672940772304341E-16	0.0	1.2528103516483305E-9	0.0	0.0	0.0	0.0	2.67277277682846E-16	8.335617999976472E-17	0.0	0.0	0.0	0.0	0.0	0.0	8.335196588606752E-17	0.0	4.021069541527385E-16	0.0	0.0	0.0	1.25281035176277E-9	0.0	0.0	0.0	2.2167775544931518E-11	4.34482871837812E-16	2.896304204623804E-16	0.0	0.0	4.021069541527385E-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.216777554748094E-11	0.0
20000	-23.442456335718393	-23.44245633571837	-2.353672812207301E-14	5.329146446177637E-6	0.8523278387854709	0.13143734168787793	0.12070085956659372	0.2666161159472944	0.1273353352117206	0.2753859965026311	0.4838955554978053	1.6022375315868138	0.97658291257521	1.565995063924108	0.27810756750886034	0.45799723773846623	0.7599655740824227	2.8435714775580374	0.023332087483305883	1.6083088568215007	2.083642820268454	4.204598681891559	2.200804966648223	0.5579234889593092	0.23089680433584994	3.2115869865519615	0.5773382350181154	0.3698427844979115	0.03949918213569071	1.3494246484835795	0.6159061035416332	3.9643389881411064	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	9.0	1947.0	6.044204281605733E-6	0.0	0.0	0.0	0.0	6.989574832439546E-13	0.0	0.0	0.0	0.0	5.360569822429697E-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.280723655082445E-13	8.828181737477183E-12	0.0	0.0	0.0	5.360569267995573E-12	0.0	0.0	3.062502594332545E-12	0.0	0.0	0.0	0.0	1.280723655082445E-13	0.0	0.0	2.0301071962830442E-12	0.0	6.989576036968096E-13	0.0	8.828182144672103E-12	3.062502594332545E-12	0.0	7.407138962769688E-12	4.063787345931576E-7	0.0	0.0	0.0	0.0	2.0301071962830442E-12	7.40713941561197E-12	2.6156958906718114E-6	0.0	0.0	0.0	0.0	0.0	4.0637873459381576E-7	2.615695890677502E-6
25000	-25.385667683818077	-25.385667683818113	3.630429290519582E-14	6.674933658130061E-5	0.21322571280582442	0.02212928332149208	1.5237586015522542	0.8454761846560243	0.12971070702347745	0.5392332679562056	0.4020682487198606	0.09135651424942992	0.7299692134803223	0.5840090936342214	0.8583835393664346	1.346089107126205	0.058558278909674445	1.5001028277439064	0.08149053920896061	1.6050736625383852	5.29598457035007	0.5017548107415136	2.4811749427212524	1.0014914271357362	0.2517862734639194	1.5051175941379622	2.3496551717743466	0.11772220229375191	0.22421811174602344	3.5261999759547664	0.5268732627022117	3.819229921669492	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	1922.0	6.15029325283718E-4	0.0	0.0	0.0	1.1563916029355995E-8	0.0	7.3753091352738044E-9	0.0	0.0	1.2495195921084518E-9	0.0	0.0	0.0	0.0	8.009250053530628E-10	0.0	1.249519592372174E-9	0.0	0.0	0.0	7.243529972599918E-8	0.0	0.0	0.0	0.0	0.0	1.228271866236017E-4	0.0	1.8459405104876564E-4	1.1563916009722487E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2282718662357791E-4	0.0	0.0	0.0	7.37530915318864E-9	0.0	7.243529972599918E-8	0.0	0.0	0.0	0.0	0.0	8.0092500549406E-10	0.0	1.845940510488267E-4	0.0	0.0	0.0
30000	-18.241367575133832	-18.2413675751338	-3.2418512319074766E-14	5.098878227039135E-6	0.05369672381058432	0.10330371152601475	0.7292587515961373	0.8270824197984423	0.9863412446108206	2.3509680652801923	0.8453308184092472	0.4462783101504005	0.2241895161748962	2.0368912610230794	0.7482583133012697	1.050542343639296	0.08885992023861554	0.10508879557097613	0.14273612934870272	2.0944513226883963	1.6275066340865028	0.5484896859304895	1.0059309045353362	0.40748822211304125	0.4143994890673959	6.062810884533624	0.3771053700108316	1.023930430118941	0.9209483088799701	0.13446489069576179	2.3325529613763076	0.3789773062699342	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	7.0	1797.0	3.6981005493466207E-6	0.0	0.0	0.0	5.712084313658357E-12	0.0	0.0	0.0	0.0	0.0	0.0	1.4067394877482111E-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4464921590216667E-11	0.0	0.0	0.0	0.0	0.0	6.947266773971033E-12	0.0	0.0	0.0	5.712083234759256E-12	1.4067394889715471E-11	0.0	6.9472661876297785E-12	2.604404920628591E-12	0.0	0.0	0.0	0.0	1.4464923235661578E-11	0.0	2.6044054323251476E-12	9.28655609520442E-13	1.8490055499425553E-6	0.0	0.0	0.0	0.0	0.0	9.286556193271125E-13	0.0	0.0	0.0	0.0	0.0	0.0	1.8490055499450917E-6	0.0
35000	-10.023367655717523	-10.023367655717564	4.0079051188915746E-14	1.5952448793171912E-5	0.8441063830612906	0.3873484776260469	1.9911464520198825	0.6045983979046303	0.4256625078644107	0.1087345404183877	0.3825655256513778	1.7061363037210822	1.789432734391143	0.009111307913300178	0.29700453197258336	0.7191299465644194	1.1837538962163046	0.2326482617369419	0.11358936120706263	0.1365876195606513	0.6319597070604284	0.33239335466607656	0.35974008865645407	0.3524199369127107	2.331845106706894	0.6241869666389691	0.5727884411319204	0.4525200642075862	0.5750595828731427	0.20497366386780247	1.1482313231973598	0.06500885563177562	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	8.0	1590.0	8.243498234521115E-5	0.0	8.944801848807809E-11	1.8984419102951237E-5	0.0	0.0	2.51094034043233E-11	0.0	0.0	0.0	0.0	2.10401869252619E-12	0.0	0.0	0.0	8.944802072755624E-11	0.0	0.0	2.6230497542894413E-11	0.0	0.0	0.0	1.8984419102974035E-5	0.0	0.0	0.0	0.0	2.223278189509789E-5	0.0	0.0	2.1040186938912375E-12	2.6230497542894413E-11	0.0	1.322705366291644E-10	0.0	0.0	0.0	0.0	0.0	0.0	1.3227053611647367E-10	0.0	0.0	2.510940228091394E-11	0.0	0.0	2.223278189505784E-5	0.0	0.0	1.5012097864821396E-11	0.0	0.0	0.0	0.0	0.0	0.0	1.501209806101298E-11
40000	-8.134538525764999	-8.134538525764961	-3.641531520772621E-14	5.677060458754573E-6	0.8589779966725059	0.4617900968643357	1.186264061504955	1.5184016385147965	2.5273351209873613	0.10700435765738733	0.45828915417737187	0.11664954232166236	0.336238325992408	0.007460030053293755	0.16929394255668662	0.3742984537479607	0.37443551690754207	3.0067301056913522	0.19244263332259037	1.9664447361269703	0.29359384168013153	0.3751767902207831	0.30440327021434765	1.190996861916232	0.8456780097321348	0.23367322778736996	0.08001785158870331	0.0209990804480131	0.0888453484458967	0.681464186583412	0.09316278250076104	0.02677848856595946	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	303.0	6.764944509070783E-6	2.438024780988745E-11	0.0	3.382415570980136E-6	0.0	0.0	0.0	0.0	2.438024960582526E-11	0.0	0.0	0.0	4.805045668453789E-12	0.0	1.0627549360885072E-11	0.0	0.0	0.0	5.462071120624015E-12	0.0	0.0	1.0648588383943905E-11	3.3824155710018362E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.462071120624015E-12	0.0	0.0	0.0	0.0	0.0	4.805045186320584E-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.600499270347818E-13	0.0	1.06275482247886E-11	1.0648588284185031E-11	0.0	0.0	0.0	7.600499529455895E-13
45000	-16.60496163342792	-16.604961633427944	2.5757174171238402E-14	2.3527582284575012E-5	0.44934482483347526	1.2081504073724167	0.2559367808777924	1.056677750985584	0.6690567048335501	0.5430357589462844	4.232632896232825	0.2485028342522762	0.24193430450558642	0.0073925352331696975	1.9215813479470427	0.11082273023983627	1.4426407628025357	0.40049721594855026	2.148168450783581	0.27870976933424163	1.3924172738167464	0.14283829451098942	0.026332142798048432	0.3643211275817541	0.6374331934558627	0.5714624365514058	2.0234454922006524	1.653768867784436	0.862485438658626	0.7715321033776675	0.0028006548198986365	0.04127265119434015	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	9.0	1854.0	3.002130387133302	0.0	0.0	0.0	0.0	3.638999320968979E-5	0.0	0.0	0.0	0.0	0.0	1.319760509980339E-7	0.0	0.0	0.0	0.0	0.0	1.2040750885295643E-9	0.0	0.0	2.452882242278729E-5	0.0	0.0	0.0	1.2040750852875346E-9	0.0	1.9815425571344026E-5	1.1229022993105547E-5	0.0	0.0	6.642384794383339E-7	0.0	0.0	2.001419248721472	1.0005519922572328	0.0	2.011485941021409E-9	0.0	0.0	1.0953134561923773E-9	3.612378393169233E-5	0.0	0.0	0.0	0.0	4.18623371545593E-9	1.9164113963830126E-9	2.9524091248641768E-5	0.0	1.2408418647894641E-10	0.0	0.0	0.0	0.0	0.0	0.0	7.270590141938112E-7
