state	posterior	prior	likelihood	geography.clock.rate.exp.mean	geography.clock.rate	geography.rates1	geography.rates2	geography.rates3	geography.rates4	geography.rates5	geography.rates6	geography.rates7	geography.rates8	geography.rates9	geography.rates10	geography.rates11	geography.rates12	geography.rates13	geography.rates14	geography.rates15	geography.rates16	geography.rates17	geography.rates18	geography.rates19	geography.rates20	geography.rates21	geography.rates22	geography.rates23	geography.rates24	geography.rates25	geography.rates26	geography.rates27	geography.rates28	geography.indicators1	geography.indicators2	geography.indicators3	geography.indicators4	geography.indicators5	geography.indicators6	geography.indicators7	geography.indicators8	geography.indicators9	geography.indicators10	geography.indicators11	geography.indicators12	geography.indicators13	geography.indicators14	geography.indicators15	geography.indicators16	geography.indicators17	geography.indicators18	geography.indicators19	geography.indicators20	geography.indicators21	geography.indicators22	geography.indicators23	geography.indicators24	geography.indicators25	geography.indicators26	geography.indicators27	geography.indicators28	geography.nonZeroRates	Current Tree	c_geography.count[1]	c_1-2.count[1]	c_1-3.count[1]	c_1-4.count[1]	c_1-5.count[1]	c_1-6.count[1]	c_1-7.count[1]	c_1-8.count[1]	c_2-1.count[1]	c_2-3.count[1]	c_2-4.count[1]	c_2-5.count[1]	c_2-6.count[1]	c_2-7.count[1]	c_2-8.count[1]	c_3-1.count[1]	c_3-2.count[1]	c_3-4.count[1]	c_3-5.count[1]	c_3-6.count[1]	c_3-7.count[1]	c_3-8.count[1]	c_4-1.count[1]	c_4-2.count[1]	c_4-3.count[1]	c_4-5.count[1]	c_4-6.count[1]	c_4-7.count[1]	c_4-8.count[1]	c_5-1.count[1]	c_5-2.count[1]	c_5-3.count[1]	c_5-4.count[1]	c_5-6.count[1]	c_5-7.count[1]	c_5-8.count[1]	c_6-1.count[1]	c_6-2.count[1]	c_6-3.count[1]	c_6-4.count[1]	c_6-5.count[1]	c_6-7.count[1]	c_6-8.count[1]	c_7-1.count[1]	c_7-2.count[1]	c_7-3.count[1]	c_7-4.count[1]	c_7-5.count[1]	c_7-6.count[1]	c_7-8.count[1]	c_8-1.count[1]	c_8-2.count[1]	c_8-3.count[1]	c_8-4.count[1]	c_8-5.count[1]	c_8-6.count[1]	c_8-7.count[1]
100000	-1040.5364534339167	-22.305458316347227	-1018.2309951175695	0.16715245114978333	0.006996770165858503	0.11580500788512557	1.7257664727747097	0.27537202614758854	0.12522301941970798	4.817054261685748	0.354674256383463	1.4100571629988239	0.3181186732374439	0.4178033792476269	0.6822902839481716	0.46263917617112316	0.3409629546434105	0.7987537772680723	0.40340801954922745	0.3138300535793547	0.9178116964499431	1.370425149698197	0.21692750149134718	0.7428611917631868	0.30034091373287763	0.49294110390354334	0.5761131973577434	0.5120354440532444	0.8441079382221988	0.1577260951291168	2.5406323849692387	0.0478610557649097	0.7590259298023017	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	14.0	911.0	341.907728167962	0.0	16.28746625429203	1.4069281822728257	1.092784986913363	0.0	0.0	14.140549543143688	0.0	5.146007189659248	0.0	0.0	0.0	1.303526734315967	0.0	74.31579277678348	19.73000294744263	20.274215213168322	14.873682466639012	40.46592181204373	58.670854431596325	0.0	1.1115393688819943	0.0	0.6392697443984755	1.8541610441130199	0.2997083064088288	0.0	0.0	0.11607558605221233	0.0	0.4800126851730509	1.0910878669440347	0.0	0.0	0.0	0.0	0.0	16.8269009106017	2.643361778455991	0.0	23.473014733792525	0.13220125165753915	0.0	0.8222530606039006	11.193326436841186	0.0	0.0	12.166804091488288	0.0	1.3052199264762492	0.0	0.0	0.0	0.0	0.04505883780183055	0.0
200000	-1045.9577544653448	-24.899437169809783	-1021.0583172955351	0.017290165234850847	0.009501756686791325	0.39373423300603616	1.4089551627630283	1.2847729044398877	3.0758918505416983	0.560287743723991	2.64948615632461	2.220433540744273	0.5081002226809994	2.2104989407626214	1.8911670602943536	0.03686298646577052	0.37225770958601834	0.5763106551398917	0.29505173588152717	0.3187946622104585	0.726082048156206	0.9869418080528445	1.0373974271868127	0.19191832732314304	1.3808002267058939	0.11702649612174656	1.2383702095158782	0.7799045757365063	0.1645750024365289	0.3877465004135854	1.928588878360966	0.32993570236823977	0.3788990246115567	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	12.0	819.0	359.5145176294156	0.0	18.054654711107894	0.0	0.0	0.0	0.0	21.63543161577344	0.0	5.437392669242029	0.0	0.0	0.0936136427109919	0.0	1.2063284257541607	75.70220074892161	24.699758797613946	21.83797328531889	17.063774314593264	41.067125555474846	58.232288950315684	0.0	0.0	0.0	0.7137044831203393	0.0	0.0	0.0	1.517982777478494	0.0	0.0	0.7726843802618131	0.0	0.0	0.0	0.4771786833025095	0.0	0.11849354419244794	12.29674838997449	0.0	0.0	19.410371237964252	0.0	0.0	0.0	14.957772164676676	0.0	0.0	12.582068252593883	0.0	6.139001040167072	0.742710222552376	0.0	3.0802234341087953	1.6750363021960555	0.0	0.0
300000	-1048.4517475965854	-21.258541669134804	-1027.1932059274507	0.004100550589105661	0.007596507891937857	0.7363724520376451	1.9123649844264008	0.08285433147392564	0.0696162304011747	0.8047618171972489	0.080857237167609	1.9595152819713733	0.5702958370318533	0.208456395513798	0.2715030256376915	1.2316611600095504	1.7331063554199657	0.39951706634645023	0.4885109457415	0.28320279995004255	1.0284727323691865	1.2446784976306382	0.825260200411776	0.30450472479388024	1.1864160965607307	0.8416377278085561	0.11225935979127782	0.5748071120024167	1.5874123547170487	1.0731576588569667	2.7310100618070967	1.4857212102899768	0.844071219321359	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	12.0	1513.0	354.2685533446564	0.0	22.054426172464478	1.4468947518435198	0.0	0.0	0.0	14.494984441108537	0.0	6.133603049193992	0.0	0.7422413669999575	0.0	0.0	0.0	74.97463210677664	22.11568868766871	20.22707651533586	13.870636617824294	40.68371223855048	63.47237621479607	0.0	0.06794983870646684	0.0	0.7648775782244804	0.0	1.1374565653300739	0.0	0.0	0.0	0.18921521187188078	0.4442682482208201	0.0	0.5528085683800315	0.0	0.0	0.0	0.0	17.985061021648825	4.141804574332372	3.3431120791017905	20.962424508696646	0.0	0.0	0.0	12.512078322768831	0.0	0.0	10.331688667873099	0.0	1.6195359969380607	0.0	0.0	0.0	0.0	0.0	0.0
400000	-1042.8001178663494	-21.870483280816778	-1020.9296345855327	0.011922185528075831	0.009249136690647248	0.2419324187211339	1.305279243308887	0.5382800367182224	3.2473151802243834	2.099217662718597	0.18204390083942415	1.0937292538436432	0.42786356307210005	0.18606543043994447	0.44092822564000794	0.5537146450013312	0.14360157766003107	2.233582428029321	0.3026630481332816	0.17116199099854829	0.8065575635269792	0.919341847247096	0.35172962414665104	0.18165861717912984	0.18069327843032534	1.1995125756572564	0.8230696495946489	0.16754698053755557	2.089596246962747	0.9903318423193535	1.7354160136759105	1.8750499463263404	0.037304107131223146	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	16.0	802.0	338.2368373529146	0.0	19.487808764048648	2.658858581146417	0.0	0.0	0.0	14.683561428386923	0.0	7.669618415067702	1.3595631627842468	0.0	0.0	1.9008020954412295	0.0	70.25370394419063	20.646770216071133	18.155149797201666	12.781157642305145	39.69614448238977	58.570699421192195	0.0	1.5849800564759262	0.18319730826946407	0.6646423784995666	0.32984556943415483	0.2498684064026572	0.0	1.564615723288539	0.0	0.0	1.3448303898461762	0.4275355274706191	0.2377306766291697	0.0	1.9182823537529972	0.0	0.0	14.792260802575946	1.4463983181267428	2.1812798543591065	16.957740231430588	0.0	0.0	0.2643634734176639	9.6046686003399	0.0	0.0	11.56963922014442	0.0	1.3844686709909726	0.0	0.0	1.8897407970012132	1.7769110442331777	0.0	0.0
500000	-1048.5652613261757	-28.72600425895735	-1019.8392570672182	0.027813568053996773	0.008552945141340742	0.7648785852433817	1.7825613665543183	0.34757957462858713	0.47733966842958336	0.2565133206813199	0.9564500003432915	2.3960460007039477	0.4680263522760225	0.7264785004288624	0.24726498071795294	0.04665049521436982	3.992148988330885	4.719636559243134	0.24233200766241705	0.2663765554872434	1.0344437312914352	1.513797380871161	0.20725060096212577	0.8773960951790191	0.6946062592749305	2.1528879390055993	0.9711850385934472	0.40190836885328457	0.0032325486877641803	0.6097863372702732	3.5363953139191358	0.8867131803653542	0.37532003653116314	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	13.0	835.0	347.4611939099049	0.0	18.98966423051216	2.543019132174061	1.6580243059455901	0.0	0.0	14.658047705542964	0.0	6.7217110195132195	0.0	0.0	0.08507062873593582	0.0	0.0	76.80861187050621	20.048624571362883	17.12583739460297	12.96184214890586	44.4549509488285	60.010758580314736	0.0	0.40018343774185045	0.0	0.40120221674541406	0.0	0.7208933315713189	0.0	0.0	0.5592450103829688	0.0	1.3943432916188794	0.0	0.42525455275987234	0.0	0.0	0.0	0.055983725097171644	10.476034514541134	2.4027032790653524	1.530192502548476	22.51028594296702	0.0	0.0	0.0	12.57937096770335	0.0	0.0	14.884122293817171	0.0	3.0552163064001525	0.0	0.0	0.0	0.0	0.0	0.0
600000	-1046.4162224512888	-28.908235987527544	-1017.5079864637613	0.03748547573675613	0.006901673079800363	2.3965610262501262	1.7434246204582644	0.735242492261974	1.1117205006799549	0.03516612705405764	0.10471865305254001	3.3360879033654225	0.6757507068459448	0.7569476557886883	0.4522829242589045	0.2608605796741304	0.0693901698865389	3.855403987267019	0.5831718604322724	0.18841986975328157	1.6393142868443282	1.7639194441298387	0.44991664109760304	1.856123949778858	0.6203733817018637	0.959007995831267	0.25020837148240277	1.0336214598448685	1.2858697440339024	0.4522347046095184	2.625795645997224	1.3992293521639096	0.034055627614798106	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	15.0	911.0	329.13769653254735	0.0	13.826148927726976	2.653683535108321	0.0	0.0	0.10897324177380475	15.266122013838663	0.0	6.5528656443061895	0.0	0.0	0.0	0.6426536380036513	0.0	71.30043780533887	20.436626901584127	17.362177778628567	12.211168716420579	41.71489458890702	54.05607440624021	0.0	0.565994596678727	0.0	0.5647712365712999	0.0	0.0	0.7526298090966342	0.0	0.0	0.0	0.1832449746909519	0.0	0.5845930641570481	0.0	0.45367274196237856	0.0	0.0	19.267900804397144	0.0	3.383330724320576	19.64210202489988	0.0	0.1165151408893808	0.7273152784290547	9.291754793671007	3.9018907799036753	0.0	9.452892260396796	0.04570042271412887	3.6100390281290164	0.0	0.0	0.0	0.4344616881114155	0.0	0.027059965650326357
700000	-1030.1190780323939	-17.313749751790194	-1012.8053282806037	0.004869495958335778	0.007574431172919486	0.08255897926301606	1.6862902971838905	0.24333689457089608	0.19236683885328343	1.5695939651804725	2.644101823831703	2.734960875429674	0.6579888232789581	0.33885582813203646	0.5772763745331546	0.38660726055510247	0.32925451606822764	0.28196700828110677	0.2665003073789569	0.32484514596084957	0.9907880315574009	1.2420738541466725	1.135270917161283	0.6750768274325957	0.1549815108435023	0.309091325290666	0.09537106393499932	0.20818613828267965	0.2467124368699421	0.028704956357621624	2.7279227493065226	0.21801324154342963	0.18670394277815733	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	16.0	911.0	335.0338394810975	0.0	16.20700605112521	1.472534011192557	1.0722527425280162	0.0	0.0	17.88826292655572	0.0	7.7795440104280305	0.6448310579731484	0.6691831714436867	0.0	1.2482734037837082	0.0	73.3146536184948	20.257388631863602	17.250271026448342	12.808322763746474	35.13245382973062	56.89207992645604	0.0	1.1633616196860375	0.20540815300815593	0.4192039567214318	0.0	0.0	0.3214480488341007	0.0	0.19227162277467863	0.3355383116288886	1.457992009601712	0.0	0.19098260508385298	0.0	0.02966908987863286	0.0	0.0	15.044848356969135	0.0	2.0113995098386006	17.52086364139487	0.0	0.0	0.3340742187319635	13.362279106773588	3.248800526877082	0.0	13.862247861635613	0.0	2.6709246690819044	0.0	0.0	0.0	0.025469000807805942	0.0	0.0
800000	-1059.9391081376784	-39.03693533479322	-1020.9021728028852	0.005811098715752295	0.008440140246946618	1.8162765567145034	2.4692675011134178	0.13025724862295812	0.4391588196851178	2.0246897256032867	1.6571944376432073	2.886525030738617	0.820904242408507	3.4902520774153722	0.09397194631492164	0.7802234206818931	0.14105731416798462	1.1853337345754145	0.9248892869326077	0.40645667217449466	2.5381772684606827	1.4635153410470287	1.2213572387631038	0.963029506240403	0.16970696459662016	2.7586479446098697	3.3665655995713104	0.8554252067776912	1.8680436121039288	1.1182024621711237	3.926404166951334	0.5168043761998329	2.44852437001348	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	14.0	911.0	349.5312618517288	0.0	16.381695140427652	0.0	2.3233817420315486	0.0	0.0	14.780997012590374	0.0	5.76626607256448	0.0	0.0	0.0	0.8431983690975621	1.2022080921823857	71.97175622063676	20.650117269762475	23.5778212945862	12.280147903012336	47.47322206108744	50.1687032834511	0.0	0.0	0.0	1.0136863128658482	0.621948486443728	0.0	0.0	2.515367810620251	0.3701730858891792	0.0	2.936601477992946	2.248075357122476	0.5576369920107265	0.0	0.0	0.0	0.0	20.607020624938833	0.0	2.5969406034385125	20.52139712305615	0.0	0.0	0.19072376413626016	8.934527266168727	0.0	0.0	10.569778219383936	0.0	3.116080476877118	0.8029950934176731	0.0	4.508794695936125	0.0	0.0	0.0
900000	-1051.2998706182723	-28.533307513746646	-1022.7665631045257	0.6670098704642893	0.008741091264305334	1.1913956044882508	1.443102153986907	0.8698548363431329	1.3837407252238116	0.5163508443104937	0.4887992878211404	1.1523973937870067	0.46622439899974205	0.800486913884998	0.3013970411583908	0.5815040830989007	1.2485362347672917	1.0294114300536537	0.2551688245414278	0.3084710852085335	0.9320180322800391	1.374563588451847	0.8899135260691712	1.4801312345116795	0.40118740199569747	0.9500300226525138	1.6190165488584969	0.15314196999949276	0.27886470120468204	0.5662521263688506	1.5444367591432415	3.434986529487285	0.3100111908395729	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	14.0	911.0	352.4208844536115	0.0	16.15023434873955	0.0	0.0	0.0	0.0	15.858457232791412	0.0	8.08010587723629	2.8696444457100343	0.0	0.0	0.0	0.0	74.2958493440728	21.351292955304967	20.18699273906488	15.998926408331835	40.34808809979992	66.178981471819	0.0	0.0	0.7983057590713036	0.5558972328159204	0.0	1.4857810012723331	0.0	2.474364092105134	0.0	0.0	1.6405259137280566	0.0	0.20628961721025887	0.0	0.8454285493635975	0.0	0.0	14.948370776431032	1.3609058901043922	1.9641849391611135	14.421507333595518	0.0	0.0	0.0	13.816815220608397	0.0	0.0	8.609675179094838	0.6423091532248408	1.4786826263316803	0.0	0.0	4.292582194935727	0.9805023473286443	0.0	0.5801837043574911
1000000	-1043.5754687188476	-16.46644067223629	-1027.1090280466112	0.011313575162821877	0.0087434093076401	0.8990722301390099	1.1923691388763562	0.250626088934198	0.04388112574560106	0.7665134098156773	0.23094069623414193	1.2989967325470932	0.6257780528673874	0.08566746864198485	0.03897682321633525	0.29887885180388807	0.2642022867029785	0.762731170368306	0.35351355226353115	0.2110351797960716	0.5249776146423437	1.062320901507102	0.5202312276301431	1.7964146302690247	0.12481233052865547	0.12195896160675654	0.04357957874562543	1.2469348851483986	1.5007224171528593	0.00550777081269517	3.817542134416078	0.8670469112279391	0.4990947586665208	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	15.0	916.0	368.67133654757833	0.0	17.790019142984097	1.496876000009087	0.7490557089992412	0.0	0.0	14.68277380107396	0.0	7.403973540397019	0.0	0.0	0.0	0.0	0.0	73.13198805734741	22.973369265073963	20.26266120663881	12.854484156208686	29.993453741165336	60.43057867343087	0.0	0.4364343203883994	0.0	0.7968675020679835	0.0	0.19896566850370065	0.24483381570439894	0.0	0.07854427774237055	0.0	1.394152183424845	0.0	2.0483093765065736	0.0	0.010317942468439362	0.0	0.0	13.509688945963235	1.0881778449478725	4.9389190061527914	35.419711893834155	0.0	0.0	0.0	14.524042030942482	0.9552471115115433	0.0	25.730955167152093	1.3147332537108767	3.1894559449107955	0.0	0.0	0.0	0.008697406212426848	0.0	1.0140495621049663
