# BEAST v1.8.2, r6692
# Generated Wed Oct 12 03:26:17 PDT 2016 [seed=1476166542850]
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood	geography.clock.rate	geography.rates1	geography.rates2	geography.rates3	geography.rates4	geography.rates5	geography.rates6	geography.rates7	geography.rates8	geography.rates9	geography.rates10	geography.rates11	geography.rates12	geography.rates13	geography.rates14	geography.rates15	geography.rates16	geography.rates17	geography.rates18	geography.rates19	geography.rates20	geography.rates21	geography.rates22	geography.rates23	geography.rates24	geography.rates25	geography.rates26	geography.rates27	geography.rates28	geography.indicators1	geography.indicators2	geography.indicators3	geography.indicators4	geography.indicators5	geography.indicators6	geography.indicators7	geography.indicators8	geography.indicators9	geography.indicators10	geography.indicators11	geography.indicators12	geography.indicators13	geography.indicators14	geography.indicators15	geography.indicators16	geography.indicators17	geography.indicators18	geography.indicators19	geography.indicators20	geography.indicators21	geography.indicators22	geography.indicators23	geography.indicators24	geography.indicators25	geography.indicators26	geography.indicators27	geography.indicators28	geography.nonZeroRates
25000	-1061.5589560524793	-1164.0636393360176	-102.50468328353827	1.0	-1164.0636393360176	0.002639201441108942	3.655882207148025	1.7851510590594835	0.39103250402239514	0.9856127778632418	0.7472432199151694	0.04858670533250232	0.48449921657757855	0.6873868698033978	1.1901220125793008	1.5948482480083768	3.1548849974599213	1.449778709077053	0.3416672889629797	0.8270222441984955	0.5762140293909065	1.172915348234303	1.8169189254243494	0.37370641219527073	0.7856587706414098	0.25076933635814674	1.2027305571331652	1.1532706296477357	0.5465635506754167	0.9755287999262282	0.03303531301127062	0.5809699943492266	0.10784301794524609	0.8859173741749887	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0
30000	-1049.8098379992994	-1170.0003019886606	-120.19046398936129	1.0	-1170.0003019886606	0.003355043544222847	1.2194477361506486	0.8935807653239076	0.31143370377426494	0.15389259867833724	0.7551441704391797	1.9619895089737396	0.42963994669013655	0.2624601308227797	1.4221987664463251	1.443316304642378	3.0650974872448304	0.700476821037995	0.5024229594305039	0.33919275949685185	0.267354813394473	0.6253157577589363	0.8260589662605916	0.06107574754723554	1.884460747697301	0.5121461118795702	1.0104640231087476	2.6498793561332583	0.35793973054480893	6.284819487018877	0.051576541204008466	0.5369394574878172	0.45195245253509897	1.4967727933481783	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	10.0
35000	-1060.2149530768727	-1178.4648254628207	-118.24987238594811	1.0	-1178.4648254628207	0.0030221813331900676	0.7875235874233338	1.741045062081746	0.2600555749440322	1.2889022624112778	0.3207627254442102	3.004198319565825	0.37139998723373935	0.6887609639810113	3.309420545449945	0.4138839877214088	2.749863346117524	1.6893210359127435	0.40386953524833985	0.5094318308046998	0.3624113883842196	0.9939659454240133	1.037658793296281	0.3070711862575603	1.0215269958224586	1.8006878080355257	3.0198811279322824	3.288512594201031	1.7083956465383736	4.409778985411518	0.12659330959887446	0.5071314801743936	0.6620908862043071	2.2810816734229307	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	10.0
40000	-1068.5692530769632	-1173.3464670141689	-104.77721393720576	1.0	-1173.3464670141689	0.0026352711130595385	1.8123423070330977	2.0580486123474757	0.4359985721674015	0.2019899889269229	2.6456268901248845	1.0233373290847798	0.6242270499277072	0.8116303743985921	1.604728393894408	2.444316262746637	1.2289432522489951	0.9003276850750617	1.6330734718676603	0.9723356814678948	0.6648517871752331	1.2565629252908086	1.5402548574682156	0.3615269768986371	0.2835592448260942	0.8023586481924326	1.5232484420625765	0.9861727771869838	1.1257525467470553	0.5510791538666632	0.1450173404593408	0.6757498884557102	0.1250467319904947	4.4070739324711985	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0
45000	-1062.3901261881863	-1170.2838916847847	-107.89376549659849	1.0	-1170.2838916847847	0.0028880105426678316	0.11600856556257044	2.1876934146237996	0.09575653722025584	0.14194903453112992	0.8774915084853218	0.7124504557469544	0.6332183970533855	0.6232488182460957	1.2089771727986633	2.298546672535056	1.4461004694663764	1.373882671459838	0.45942255560316747	0.5028959230854898	0.44254273280796236	1.734060360963067	1.732933526274252	0.3589732797557577	0.20141431853039826	2.0767070086947808	2.880007094271676	0.8198265062847151	3.1950819600836646	0.4734592253266324	1.270012315736709	1.1627290185835257	0.10895904289272147	2.4175122275607372	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	10.0
50000	-1060.7941865225907	-1170.4561492910743	-109.6619627684837	1.0	-1170.4561492910743	0.0030476933353000587	0.01459749742278328	2.7555776314703015	0.05019771678700579	0.20108963517029263	1.0679184972980298	1.9116542550959412	0.8089702576140249	1.0605326545456502	3.4114958718659736	0.3433349896381595	1.844094633519462	0.37701683237266354	0.35190785802439595	0.6199475936234143	0.4910654224365004	1.4336568932372458	1.998667197981993	0.2527079825969557	0.844476367133857	1.4555001450185416	0.28273426593572765	0.46703107437158703	0.5878187162629332	0.6197882420626621	3.4599757654270107	0.3971231384335947	0.4984557376711034	2.4218699102110772	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0
55000	-1055.0654549895328	-1175.8225646330984	-120.75710964356567	1.0	-1175.8225646330984	0.004339475436908452	0.11718431593468182	2.5573402052295355	0.022236770867049775	1.240922328288959	0.4914149211279257	1.3004150630910043	1.381287120077336	0.7206918477154334	0.37785954790702064	4.100096054336146	0.3808914522207505	0.10761018448668751	0.7108656908910175	0.6172547019715832	0.19609340011070947	0.8440137054794461	1.436622605514716	0.4967728263345307	0.40481770701495234	1.0857369105797754	0.31233721488501603	1.0951791073871948	0.5454549314737073	0.7267820413163135	0.4207849006760754	0.5772431230001337	1.657126585014018	0.6146514427519442	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	9.0
60000	-1065.3656653449002	-1183.9621543954472	-118.59648905054702	1.0	-1183.9621543954472	0.0031277454869519526	0.03906367585726667	1.4661469687488105	0.43314870230345	0.5703913767789464	0.5872651826886645	0.8024001981341501	0.32375280863244404	0.48193783941032314	0.5143785445156945	3.4113120298616804	7.604961126678846	1.7134317176964218	1.3994830613993434	0.5897327131998088	0.38069497301988026	1.0554216356383816	1.3888500799941765	0.23716778425418297	0.6152410548862356	3.4084710118776584	3.130506949743825	0.12186774232635625	0.17255935666008188	0.04045489721835589	2.418476910813621	1.8261351802343697	0.14930707611724423	0.2624782248058266	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0
65000	-1050.461411123938	-1173.2910552305148	-122.8296441065768	1.0	-1173.2910552305148	0.0031782782264322645	2.1490732625108375	3.0623712544545896	1.2069540326786488	2.8645615381305496	1.4334123469745688	1.6263235999181886	0.7440799076606449	1.055825935744252	0.9489335071003677	1.6151722682403364	1.6555470680622772	1.8070803655875478	0.38954930803281407	0.9603974370051678	0.6341143719871041	2.320274344957855	2.4207519329972196	0.39950976450782977	2.30550965604081	0.33199124087606935	2.349541301200917	0.3169514955827081	0.12859449275595827	0.006635115183419359	3.2215647894546273	1.6390468553824646	0.15653222658470456	1.580506562432955	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	10.0
70000	-1061.4070654220927	-1169.9878033939976	-108.58073797190481	1.0	-1169.9878033939976	0.003014493968042729	1.0081358815450734	2.45044506673944	1.6873452983704944	0.5089528231146933	0.8655731269254205	1.5005085048849276	1.3850417919695732	0.8873684412205025	1.437822042419301	0.606724415243863	1.4070562345655437	1.5129835566357461	1.153941577899591	1.0164792164755263	1.0049298205816863	1.7035862629875491	2.590219068178211	0.6057659045971233	0.7561332980939947	0.07582594585127597	1.3308463614266102	1.3378797053063796	0.3939815157818079	0.010731296299565499	1.5900509934753166	1.6460205852129175	0.19232488809146764	0.10108528591981993	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0
